niveau,genre,sentiment_global,confiance_adultes,sentiment_securite,participation_projets,liberte_expression,ecoute_et_soutien,envie_venir,relation_famille_etab,confiance_dialogue_extrait,projets_participes,lieux_expression_libre,changements_souhaites,moments_agreables,moments_desagreables,lieux_agreables,lieux_desagreables,cluster_kmeans
4e,Garçon,2,0,1,1,2,1,1,2,"['compréhension', 'dialogue']",[],['la cour'],"['compétition', 'foot', 'sports', 'respect']",[],[],"['classe', 'terrain']",[],3
5e,Garçon,0,0,1,2,1,1,1,0,['discussion'],['sport'],[],[],['avec les potes'],[],['foyer'],[],1
5e,Fille,2,1,2,0,0,0,1,1,[],[],[],[],['copines'],[],['recre'],[],1
4e,Fille,3,2,3,2,2,2,2,3,"['confiance', 'respect']",[],"['salle de classe', 'extérieur']",['aucun'],['amis'],['salle de classe'],['salle de classe'],[],0
5e,Garçon,3,0,3,0,3,3,0,3,[],[],[],[],[],[],[],[],3
6e,Garçon,2,0,2,0,2,1,3,1,['tolérance'],[],[],"['jeux', 'tolérer']","['moments drôles', 'salle de détente']","[""cours d'arabe""]",[],[],3
5e,Garçon,1,1,2,2,0,1,0,1,['aucun'],['projet pédagogiques'],[],"['horaires', 'cantine']",['pause'],[],[],[],1
4e,Fille,3,2,3,0,2,2,3,2,['écoute'],[],['la cour'],[],['pause'],['punitions'],['la cour'],['salle de classe'],0
4e,Garçon,1,2,3,0,2,1,0,2,[],[],[],['aucun'],['rester chez moi'],[],[],[],3
5e,Garçon,0,0,0,0,0,0,0,3,[],[],[],[],[],[],[],[],1
4e,Garçon,2,3,3,0,3,2,2,3,[],[],"['récréation', 'salle de classe']",['terrain'],[],[],"['récréation', 'terrain']",['permanence'],0
4e,Garçon,3,0,1,1,2,1,3,3,['moins de punition'],['sport'],['salle de classe'],['heures'],['joue avec mes amis'],[],['terrain'],[],0
5e,Fille,3,2,3,2,2,2,1,3,"['questions', 'temps', 'élèves']",['MUN'],['salle de classe'],['aucun'],['pause'],[],['la cour'],[],0
5e,Fille,1,1,1,0,1,1,0,3,[],[],[],"['gestion', 'salle de classe', 'permanences']",['amis'],['aucun'],[],['classe'],1
5e,Fille,2,2,1,0,2,2,0,2,['aucun'],[],['aucun'],['recre'],['la cour'],[],['recre'],[],3
4e,Fille,2,2,2,2,3,2,2,2,[],[],[],[],[],[],[],[],0
6e,Garçon,2,3,2,3,1,1,2,3,[],"['art et culture', 'sport']",['couloir'],[],[],[],[],[],0
4e,Garçon,1,1,2,0,2,2,0,1,[],[],[],[],[],[],[],[],1
6e,Garçon,1,2,2,2,1,1,1,2,[],['art et culture'],[],[],[],[],[],[],2
4e,Garçon,2,2,1,0,2,2,0,2,[],[],[],[],[],[],[],[],3
