niveau,genre,sentiment_global,confiance_adultes,sentiment_securite,participation_projets,liberte_expression,ecoute_et_soutien,envie_venir,relation_famille_etab,confiance_dialogue_extrait,projets_participes,lieux_expression_libre,changements_souhaites,moments_agreables,moments_desagreables,lieux_agreables,lieux_desagreables
4e,Garçon,2,0,1,1,2,1,1,2,"['compréhension', 'dialogue']",[],['cour'],"['compétition', 'foot', 'sports', 'respect']",[],[],"['cours', 'terrain']",[]
5e,Garçon,0,0,1,2,1,1,1,0,['discussion'],['sport'],[],[],['avec les potes'],[],['foyer'],[]
5e,Fille,2,1,2,0,0,0,1,1,[],[],[],[],['copines'],[],['recre'],[]
4e,Fille,3,2,3,2,2,2,2,3,"['confiance', 'respect']",[],"['classe', 'extérieur']",['non'],['amis'],['classe'],['classe'],[]
5e,Garçon,3,0,3,0,3,3,0,3,[],[],[],[],[],[],[],[]
6e,Garçon,2,0,2,0,2,1,3,1,['tolérance'],[],[],"['jeux', 'tolérer']","['moments drôles', 'salle de détente']","[""cours d'arabe""]",[],[]
5e,Garçon,1,1,2,2,0,1,0,1,['non'],['projet pédagogiques'],[],"['horaires', 'cantine']",['pause méridienne'],[],[],[]
4e,Fille,3,2,3,0,2,2,3,2,['écoute'],[],['cour'],[],['pause'],['punitions'],['cour'],['classes']
4e,Garçon,1,2,3,0,2,1,0,2,[],[],[],['non'],['rester chez moi'],[],[],[]
5e,Garçon,0,0,0,0,0,0,0,3,[],[],[],[],[],[],[],[]
4e,Garçon,2,3,3,0,3,2,2,3,[],[],"['récré', 'classe']",['terrain'],[],[],"['récré', 'terrain']",['permanence']
4e,Garçon,3,0,1,1,2,1,3,3,['moins de punition'],['sport'],['classe'],['heures'],['joue avec mes amis'],[],['plateau'],[]
5e,Fille,3,2,3,2,2,2,1,3,"['questions', 'temps', 'élèves']",['MUN'],['classe'],['non'],['pause'],[],['cour'],[]
5e,Fille,1,1,1,0,1,1,0,3,[],[],[],"['gestion', 'salles', 'permanences']",['amis'],['non'],[],['cours']
5e,Fille,2,2,1,0,2,2,0,2,['non'],[],['non'],['recre'],['récréation'],[],['recre'],[]
4e,Fille,2,2,2,2,3,2,2,2,[],[],[],[],[],[],[],[]
6e,Garçon,2,3,2,3,1,1,2,3,[],"['art et culture', 'sport']",['couloir'],[],[],[],[],[]
4e,Garçon,1,1,2,0,2,2,0,1,[],[],[],[],[],[],[],[]
6e,Garçon,1,2,2,2,1,1,1,2,[],['art et culture'],[],[],[],[],[],[]
4e,Garçon,2,2,1,0,2,2,0,2,[],[],[],[],[],[],[],[]
6e,Garçon,2,2,3,1,2,2,2,3,[],['projet pédagogiques'],[],[],['sport'],[],['terrain'],[]
4e,Garçon,2,1,2,0,3,2,0,1,[],[],[],[],[],[],[],[]
5e,Fille,2,2,2,0,2,2,0,3,[],[],['cour'],[],['jour férié'],[],['m\x009ediath\x00e8que'],[]
5e,Fille,1,0,1,1,1,0,0,1,['non'],"[""vie de l'établissement""]",[],['horaires'],"[""en dehors de l'école""]","['7h', '17h']",['chez moi'],['classe']
6e,Garçon,2,2,3,0,3,2,3,3,['non'],[],['partout'],[],[],[],[],[]
4e,Garçon,2,2,2,1,2,2,1,3,"['calme', 'écoute', 'respect', 'communication']",['environnement et solidarité'],"['cours', 'pauses']","['heures', 'chaises']",['pauses'],['cours'],"['récré', 'médiathèque', 'terrain']",['salles']
6e,Garçon,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
5e,Fille,2,2,2,1,1,1,1,2,[],['MUN'],[],[],['récréation'],[],['recree'],[]
5e,Fille,2,2,3,0,2,2,2,2,['écoute'],[],"['classe', 'pause']",[],['amis'],[],['cour'],[]
4e,Garçon,3,3,3,0,1,2,3,3,[],[],['vie scolaire'],['liberté'],['interclasse'],['évaluations'],"['terrain', 'cour', 'gymnase']",[]
4e,Fille,3,2,3,0,3,1,0,3,[],[],[],[],[],[],[],[]
6e,Fille,1,0,1,3,0,1,0,1,['écoute'],['sport'],['tableau'],['climatisation'],['rire'],"['profs', 'rabaissent']",['cour'],['salle de classe']
5e,Garçon,2,2,1,0,1,1,0,2,[],[],['non'],"['calme', 'éducation']",['foyer sociaux éducatifs'],[],[],"['cantine', 'permanence']"
6e,Garçon,2,2,2,1,3,2,1,3,[],['environnement et solidarité'],[],[],['récréation'],['cours'],[],[]
5e,Fille,2,1,1,0,1,2,0,2,[],[],['classe'],['horaires'],['pauses'],['cours'],['cantine'],['école']
4e,Garçon,3,1,3,2,2,1,2,2,"['écoute', 'explication']","[""vie de l'établissement""]",[],[],[],[],[],[]
5e,Garçon,2,3,2,1,2,3,2,2,['non'],['sport'],[],['non'],['amis'],[],['auditorium'],[]
5e,Fille,2,2,2,0,2,2,0,3,['non'],[],['récré'],['recre'],['récréation'],[],['recre'],[]
4e,Garçon,0,2,3,2,3,3,1,2,['honnêteté'],[],[],['escaliers'],[],[],[],[]
6e,Fille,2,3,2,2,2,2,2,2,['non'],['MUN'],"['classe', 'cour']",['climatisation'],[],[],['CCC'],['couloirs']
4e,Garçon,2,1,3,0,1,1,0,1,[],[],['non'],[],[],['évaluation'],['amis'],[]
5e,Garçon,2,3,2,2,1,1,2,3,[],"['sport', 'projet pédagogiques']",[],[],[],[],['CCC'],[]
4e,Fille,2,2,2,1,1,2,1,2,[],['sport'],[],[],[],[],[],[]
6e,Fille,1,3,2,2,1,1,2,1,[],[],[],[],['soutenue'],['rappel que je suis grosse'],['dehors'],['école']
5e,Fille,2,2,2,1,1,2,1,2,[],['sport'],['non'],['toilettes'],['récréation'],[],[],[]
4e,Garçon,2,2,2,0,2,1,2,3,['gentillesse'],[],[],[],"['la sortie', 'la cantine']",[],[],[]
4e,Fille,3,3,3,2,2,1,2,3,[],"[""vie de l'établissement"", 'MUN']",[],[],[],[],['CCC'],['permanence']
6e,Fille,2,2,2,1,3,1,0,2,[],['sport'],[],[],[],[],['salle'],[]
6e,Garçon,3,1,3,0,2,3,1,2,['compréhension'],[],[],"['liberté', 'heures']",['amis'],['mauvaise note'],"['cour', 'minifoot']","['foyer', 'CCC', 'permanence']"
5e,Garçon,2,2,2,0,0,0,1,2,[],[],[],['horaires'],['profs absents'],['remplacement'],['terrain'],[]
5e,Fille,3,2,2,2,2,2,2,2,['compréhension'],[],['cellule'],"['code', 'vestimentaire', 'saison']","['sorties', 'pauses']",['évaluations'],"['CCC', 'Permanence', 'Cour', 'Terrain sportif']",[]
4e,Garçon,2,1,3,0,2,1,2,2,['non'],[],['médiathèque'],"['permanence', 'continuité', 'changement', 'heure']",['récré'],['cours'],['médiathèque'],['permanence']
6e,Fille,1,2,3,0,1,2,1,2,['non'],[],[],[],['pauses'],[],[],[]
4e,Fille,3,2,3,3,2,3,2,3,[],"[""vie de l'établissement"", ""vie de l'établissement"", 'MUN']",[],['non'],['tous les moments'],[],"['permanences', 'cour', 'CCC']",[]
6e,Garçon,2,1,1,3,1,0,0,1,['non'],['sport'],[],['cours'],['interclass'],['cours'],"['interclasse', 'foyer']",[]
5e,Fille,1,0,0,2,0,0,1,0,[],"['MUN', 'MASSMUN', 'OSUIMUN', 'THIMUN', 'FERMUN', 'MEDMUN']",[],[],[],[],['CCC'],['cour']
6e,Fille,2,2,1,1,1,2,1,2,[],['environnement et solidarité'],[],[],[],[],[],[]
4e,Garçon,1,1,0,2,1,0,0,2,['écoute'],['MUN'],['non'],['emploi du temps'],['vacances'],[],[],['salles']
5e,Fille,2,1,3,0,1,2,1,3,[],[],[],[],[],[],[],[]
4e,Garçon,2,1,2,2,2,2,0,0,[],['sport'],['cpe'],"['réduire', 'cours', '8h', '13h']",[],[],[],[]
6e,Garçon,2,2,2,2,3,1,0,2,"['désaccord', 'annulation']",['sport'],[],"['terrain', 'sport', 'temps']","['heure creuse', 'vacances', 'bonne notes']",[],['foyer'],[]
6e,Garçon,2,2,3,2,2,3,2,2,[],['sport'],[],[],[],[],[],[]
4e,Garçon,2,2,3,0,2,0,1,2,['respect'],[],[],['heures'],['récréation'],['évaluations'],['allée'],['bureau']
5e,Fille,2,2,1,0,1,1,2,2,['non'],[],[],"['téléphone', 'récré', 'perm']",['compréhension'],['indifférence'],['banc'],['permanence']
5e,Garçon,1,1,1,3,0,1,1,1,"['confiance', 'dialogue']",['sport'],['non'],['respect'],['sport'],['punitions'],['terrain'],['permanence']
4e,Garçon,2,2,3,0,1,1,1,3,[],[],[],['horaire'],[],[],[],[]
4e,Garçon,1,0,1,2,1,1,0,2,[],['sport'],[],['cours'],[],['cantine'],['plateaux'],[]
4e,Fille,2,1,1,2,1,1,1,2,['respect'],['MUN'],[],['horaires'],['pause'],[],['cours'],[]
4e,Garçon,2,1,3,2,1,1,1,3,['décisions'],[],[],['sandales'],['récré'],['cours ennuyeux'],['cour'],['permanence']
5e,Fille,2,2,2,3,1,1,1,0,[],['art et culture'],[],"['bienveillance', 'évaluations', 'devoirs']","['récréation', ""cours d'arabe""]",[],[],[]
4e,Fille,2,2,2,2,1,1,1,2,['écoute'],['MUN'],[],"['téléphone', 'règles', 'sortir']",['poses'],[],"['cour', 'ccc']",['salles']
4e,Fille,2,2,2,2,2,1,1,1,[],['art et culture'],['médiathèque'],"['horaire', 'égalité']",['amis'],"['cours de maths', ""cours d'espagnol""]","['mediatheque', 'cantine', 'salle', 'cours', 'tables']",[]
6e,Garçon,3,3,3,0,3,1,2,2,[],[],['non'],[],[],[],[],['permanence']
6e,Fille,3,2,1,3,1,1,2,3,[],[],[],[],[],[],[],[]
6e,Fille,3,2,3,2,2,2,3,3,[],"[""vie de l'établissement""]",[],[],[],[],[],[]
4e,Fille,2,1,2,2,1,0,0,2,[],"['MUN', ""vie de l'établissement""]",[],['heures'],['heures creuses'],[],"['cantine', 'récrée']",['classes']
6e,Garçon,1,0,2,0,1,0,0,1,"['compréhension', 'écoute']",[],[],['téléphone'],['bonnes notes'],"[""trois heures d'affilé""]","['récré', 'cantine']",['salle de cours']
6e,Garçon,3,2,3,2,2,2,2,3,['respect'],['art et culture'],[],"['emploi', 'fatigué']","['vacances', ""fin d'année""]",['rentrée'],['tous'],[]
4e,Fille,2,2,3,3,1,2,3,3,['égalité'],"['MUN', 'projet pédagogiques']",['non'],"['médiathèque', 'cantine', 'zones']","['mes amies', 'médiathèque']",['adultes à la médiathèque'],"['cour', 'cantine']",[]
6e,Fille,2,2,2,2,2,2,1,2,[],"['sport', ""vie de l'établissement""]",[],['fontaine'],[],[],['ccc'],[]
5e,Fille,3,2,3,0,2,2,2,3,[],[],[],[],"['récréations', 'heures de pause']",[],"['extérieur', 'médiathèque']",[]
4e,Fille,2,2,2,0,2,2,1,2,[],[],[],[],[],[],[],[]
6e,Fille,2,2,1,0,2,2,1,3,[],[],[],[],['dormir'],[],"['permanence', 'salle']",[]
4e,Fille,3,0,2,2,2,2,1,3,[],"['MUN', ""vie de l'établissement""]",[],[],[],[],['CCC'],['permanence']
4e,Fille,2,2,3,2,2,2,2,1,['communication'],['MUN'],['conseil de classe'],['non'],"['récréations', 'cours de langues']","['sortie', 'queue entre midi et deux']","['salle', 'médiathèque']","['salles', 'classes']"
6e,Garçon,2,2,2,1,2,2,2,2,[],['environnement et solidarité'],[],['fontaine'],['récréation'],['cours'],"['cours', 'fontaine']",['classes']
5e,Fille,2,3,2,1,2,1,2,2,[],['art et culture'],[],[],['amis'],['critiques'],"['CCC', 'cour']",[]
6e,Garçon,3,3,3,1,3,3,2,3,['non'],"[""vie de l'établissement""]","['cour', 'salle de permanence']",[],[],[],['salle'],[]
6e,Fille,0,0,0,0,0,0,0,1,[],[],[],[],[],[],[],[]
6e,Fille,2,2,3,3,2,2,3,2,"['confiance', 'dialogue', 'échange', 'bienveillance']","['MUN', 'MASSMUN', 'OSUIMUN', 'THIMUN', 'FERMUN', 'MEDMUN']","['classe', 'conseils', 'réunions', 'boîtes', 'forums', 'clubs', 'journaux', 'professeur', 'surveillant', 'CPE', 'infirmière']","['espace', 'créativité', 'calme', 'lecture', 'jeux', 'bien-être', 'expression', 'détente']","[""m'amuse"", 'apprends', 'grandis']",[],['CCC'],['permanance']
5e,Garçon,1,1,2,2,0,1,1,1,"['confiance', 'écoute']",['projet pédagogiques'],['cour de récréation'],['horaire'],['récréation'],"[""cours d'espagnol""]",['plateaux'],[]
5e,Fille,2,1,2,2,2,1,1,2,[],['MUN'],[],[],['avec mes amies'],[],[],[]
4e,Fille,2,2,2,2,2,2,1,2,"['compréhension', 'écoute']",['MUN'],['classe'],"['écoute', 'devoir', 'stress', 'pression']",['récréation'],"['évaluation', 'examen']",['recréation'],['classe']
6e,Fille,3,3,3,3,2,2,3,3,[],"['MUN', 'art et culture']",['PP'],[],['OSUIMUN'],[],['bulle'],['salle']
6e,Fille,2,2,2,3,1,1,2,2,['écoute'],"['sport', 'projet pédagogiques']",[],['personnes'],['école'],['prisonnier'],['plateau'],['permanence']
4e,Fille,3,3,3,2,3,3,3,3,['respect'],"['sport', 'MUN', 'art et culture']",[],['non'],['ami-e-s'],[],['cours'],[]
4e,Garçon,2,0,3,0,1,2,1,2,"['expression', 'écoute', 'respect', 'droits']",[],[],"['liberté', 'temps', 'fluidité', 'calme']",['amis'],['surveillance'],"['salle', 'médiathèque']",['salle']
5e,Garçon,2,1,2,0,1,2,1,2,"['écoute', 'respect', 'communication', 'soutien', 'transparence']",[],[],['liberté'],['amis'],"['histoires', 'oppresse']",['recreation'],[]
6e,Fille,3,2,3,0,2,1,1,3,['non'],[],[],[],['avec les amis'],['les cours'],['cantine'],"['bureau', 'vie scolaire']"
4e,Garçon,3,2,3,0,1,1,2,2,[],[],"['cpe', 'surveillant']","['écouter', 'crier', 'CPE']","['cantine', 'récré']",[],['cours'],[]
6e,Garçon,2,2,2,0,1,1,1,2,['non'],[],['vie de classe'],[],['activité'],[],[],[]
4e,Garçon,3,2,3,1,3,1,2,2,"['écoute', 'attention', 'respect']",['art et culture'],['vie scolaire'],"['balle', 'pause']",['amis'],['cours'],['cour'],['classe']
6e,Garçon,3,2,3,0,3,2,0,2,[],[],['non'],"['nourriture', 'cantine']","['cantine', 'récréation']",[],['cours'],[]
4e,Garçon,2,2,2,0,1,0,2,2,"['gentillesse', 'bienveillance']",[],[],"['éducation', 'comportement']",[],[],[],[]
5e,Fille,3,2,3,0,1,2,2,2,[],[],['non'],['climatisation'],['récréation'],['cours vers 14h'],['médiathèque'],['salles']
5e,Fille,2,1,2,1,2,1,1,2,['compréhension'],"[""vie de l'établissement""]",['cour'],['espaces'],"['récréations', 'cours classe entière']","['certains cours', 'cours en demi-groupes']",['classes'],['toilettes']
